kvp,material,alpha_per_mm,beta_per_mm,gamma
25,Concrete,0.3904,1.645,0.2757
30,Concrete,0.3173,1.698,0.3593
35,Concrete,0.2528,1.807,0.4648
40,Concrete,0.1297,0.178,0.2189
45,Concrete,0.1095,0.1741,0.2269
50,Concrete,0.09032,0.1712,0.2324
55,Concrete,0.07422,0.1697,0.2454
60,Concrete,0.06251,0.1692,0.2733
65,Concrete,0.05528,0.1696,0.3217
70,Concrete,0.05087,0.1696,0.3847
75,Concrete,0.04797,0.1663,0.4492
80,Concrete,0.04583,0.1549,0.4926
85,Concrete,0.04398,0.1348,0.4943
90,Concrete,0.04228,0.1137,0.469
95,Concrete,0.04068,0.09705,0.4406
100,Concrete,0.03925,0.08567,0.4273
105,Concrete,0.03808,0.07862,0.4394
110,Concrete,0.03715,0.07436,0.4752
115,Concrete,0.03636,0.07201,0.5319
120,Concrete,0.03566,0.07109,0.6073
125,Concrete,0.03502,0.07113,0.6974
130,Concrete,0.03445,0.0716,0.7969
135,Concrete,0.03394,0.07263,0.9099
140,Concrete,0.03345,0.07476,1.047
145,Concrete,0.03296,0.07875,1.224
150,Concrete,0.03243,0.08599,1.467
25,Gypsum Wallboard,0.1576,0.7175,0.3048
30,Gypsum Wallboard,0.1208,0.7043,0.3613
35,Gypsum Wallboard,0.08878,0.6988,0.4245
50,Gypsum Wallboard,0.03883,0.0873,0.5105
55,Gypsum Wallboard,0.03419,0.08315,0.5606
60,Gypsum Wallboard,0.02985,0.07961,0.6169
65,Gypsum Wallboard,0.02609,0.07597,0.6756
70,Gypsum Wallboard,0.02302,0.07163,0.7299
75,Gypsum Wallboard,0.02066,0.06649,0.775
80,Gypsum Wallboard,0.01886,0.06093,0.8103
85,Gypsum Wallboard,0.01746,0.05558,0.8392
90,Gypsum Wallboard,0.01633,0.05039,0.8585
95,Gypsum Wallboard,0.01543,0.04571,0.8763
100,Gypsum Wallboard,0.01466,0.04171,0.8939
105,Gypsum Wallboard,0.01397,0.03815,0.908
110,Gypsum Wallboard,0.01336,0.03521,0.9244
115,Gypsum Wallboard,0.01283,0.03271,0.9423
120,Gypsum Wallboard,0.01235,0.03047,0.9566
125,Gypsum Wallboard,0.01192,0.02863,0.9684
130,Gypsum Wallboard,0.01155,0.02702,0.9802
135,Gypsum Wallboard,0.01122,0.02561,0.9901
140,Gypsum Wallboard,0.01088,0.02436,0.9964
145,Gypsum Wallboard,0.01056,0.02313,0.9987
150,Gypsum Wallboard,0.0103,0.02198,1.013
25,Lead,49.52,194,0.3037
30,Lead,38.8,178,0.3473
35,Lead,29.55,164.7,0.3948
50,Lead,8.801,27.28,0.2957
55,Lead,7.839,25.92,0.3499
60,Lead,6.951,24.89,0.4198
65,Lead,6.13,24.09,0.5019
70,Lead,5.369,23.49,0.5881
75,Lead,4.666,22.69,0.6618
80,Lead,4.04,21.69,0.7187
85,Lead,3.504,20.37,0.755
90,Lead,3.067,18.83,0.7726
95,Lead,2.731,17.07,0.7714
100,Lead,2.5,15.28,0.7557
105,Lead,2.364,13.41,0.7239
110,Lead,2.296,11.7,0.6827
115,Lead,2.265,10.21,0.6363
120,Lead,2.246,8.95,0.5873
125,Lead,2.219,7.923,0.5386
130,Lead,2.17,7.094,0.4909
135,Lead,2.102,6.45,0.4469
140,Lead,2.009,5.916,0.4018
145,Lead,1.895,5.498,0.358
150,Lead,1.757,5.177,0.3156
25,Plate Glass,0.3804,1.543,0.2869
30,Plate Glass,0.3061,1.599,0.3693
35,Plate Glass,0.2396,1.694,0.4683
50,Plate Glass,0.09721,0.1799,0.4912
55,Plate Glass,0.08552,0.1661,0.5112
60,Plate Glass,0.07452,0.1539,0.5304
65,Plate Glass,0.06514,0.1443,0.5582
70,Plate Glass,0.05791,0.1357,0.5967
75,Plate Glass,0.05291,0.128,0.6478
80,Plate Glass,0.04955,0.1208,0.7097
85,Plate Glass,0.04721,0.114,0.7786
90,Plate Glass,0.0455,0.1077,0.8522
95,Plate Glass,0.0441,0.1013,0.9222
100,Plate Glass,0.04278,0.09466,0.9791
105,Plate Glass,0.04143,0.08751,1.014
110,Plate Glass,0.04008,0.08047,1.03
115,Plate Glass,0.03878,0.07394,1.033
120,Plate Glass,0.03758,0.06808,1.031
125,Plate Glass,0.03652,0.06304,1.031
130,Plate Glass,0.03561,0.05874,1.037
135,Plate Glass,0.03481,0.05519,1.049
140,Plate Glass,0.03407,0.05145,1.057
145,Plate Glass,0.03336,0.04795,1.063
150,Plate Glass,0.03266,0.04491,1.073
25,Steel,9.364,41.25,0.3202
30,Steel,7.406,41.93,0.3959
35,Steel,5.716,43.41,0.4857
50,Steel,1.817,4.84,0.4021
55,Steel,1.493,4.515,0.4293
60,Steel,1.183,4.219,0.4571
65,Steel,0.9172,3.982,0.4922
70,Steel,0.7149,3.798,0.5378
75,Steel,0.5793,3.629,0.5908
80,Steel,0.4921,3.428,0.6427
85,Steel,0.4355,3.178,0.6861
90,Steel,0.3971,2.913,0.7204
95,Steel,0.3681,2.654,0.7461
100,Steel,0.3415,2.42,0.7645
105,Steel,0.3135,2.227,0.7788
110,Steel,0.2849,2.061,0.7897
115,Steel,0.2579,1.922,0.8008
120,Steel,0.2336,1.797,0.8116
125,Steel,0.213,1.677,0.8217
130,Steel,0.1969,1.557,0.8309
135,Steel,0.1838,1.44,0.8391
140,Steel,0.1724,1.328,0.8458
145,Steel,0.1616,1.225,0.8519
150,Steel,0.1501,1.132,0.8566
25,Wood,0.0223,0.0434,0.1937
30,Wood,0.02166,0.03966,0.2843
35,Wood,0.01901,0.03873,0.3732
50,Wood,0.01076,0.001862,1.17
55,Wood,0.01012,0.001404,1.269
60,Wood,0.009512,0.0009672,1.333
65,Wood,0.00899,0.000647,1.353
70,Wood,0.00855,0.000539,1.194
75,Wood,0.008203,0.0006421,1.062
80,Wood,0.007903,0.000864,0.9703
85,Wood,0.007686,0.001056,1.015
