workload,material,alpha_per_mm,beta_per_mm,gamma
Rad Room (all barriers),Lead,2.346,15.9,0.4982
Rad Room (all barriers),Concrete,0.03626,0.1429,0.4932
Rad Room (all barriers),Gypsum Wallboard,0.0142,0.05781,0.7445
Rad Room (chest bucky),Lead,2.264,13.08,0.56
Rad Room (chest bucky),Concrete,0.03552,0.1177,0.6007
Rad Room (chest bucky),Gypsum Wallboard,0.01278,0.04848,0.8609
Rad Room (floor or other barriers),Lead,2.651,16.56,0.4585
Rad Room (floor or other barriers),Concrete,0.03994,0.1448,0.4231
Rad Room (floor or other barriers),Gypsum Wallboard,0.01679,0.06124,0.7356
Fluoroscopy Tube (R&F room),Lead,2.347,12.67,0.6149
Fluoroscopy Tube (R&F room),Concrete,0.03616,0.09721,0.5186
Fluoroscopy Tube (R&F room),Gypsum Wallboard,0.0134,0.04283,0.8796
Rad Tube (R&F room),Lead,2.295,13,0.5573
Rad Tube (R&F room),Concrete,0.03549,0.1164,0.5774
Rad Tube (R&F room),Gypsum Wallboard,0.013,0.04778,0.8485
Chest Room,Lead,2.283,10.74,0.637
Chest Room,Concrete,0.03622,0.07766,0.5404
Chest Room,Gypsum Wallboard,0.01286,0.03505,0.9356
Mammography Room,Lead,30.6,177.6,0.3308
Mammography Room,Concrete,0.2577,1.765,0.3644
Mammography Room,Gypsum Wallboard,0.09148,0.709,0.3459
Cardiac Angiography,Lead,2.389,14.26,0.5948
Cardiac Angiography,Concrete,0.03717,0.1087,0.4879
Cardiac Angiography,Gypsum Wallboard,0.01409,0.04814,0.8419
Peripheral Angiography,Lead,2.728,18.52,0.4614
Peripheral Angiography,Concrete,0.04292,0.1538,0.4236
Peripheral Angiography,Gypsum Wallboard,0.01774,0.06449,0.7158
Rad Room (all barriers),Steel,0.2163,3.101,0.5745
Rad Room (all barriers),Plate Glass,0.03907,0.1069,0.594
Rad Room (all barriers),Wood,0.007616,0.000767,1.027
Rad Room (chest bucky),Steel,0.2179,2.677,0.7209
Rad Room (chest bucky),Plate Glass,0.03762,0.09751,0.7867
Rad Room (chest bucky),Wood,0.007142,0.000308,1.617
Rad Room (floor or other barriers),Steel,0.2535,2.74,0.4297
Rad Room (floor or other barriers),Plate Glass,0.04361,0.1082,0.5463
Rad Room (floor or other barriers),Wood,0.007915,0.00088,0.979
Fluoroscopy Tube (R&F room),Steel,0.2323,2.19,0.6509
Fluoroscopy Tube (R&F room),Plate Glass,0.03901,0.08588,0.8081
Fluoroscopy Tube (R&F room),Wood,0.007089,0.000474,1.58
Rad Tube (R&F room),Steel,0.2126,2.568,0.6788
Rad Tube (R&F room),Plate Glass,0.03778,0.09365,0.7483
Rad Tube (R&F room),Wood,0.007162,0.000411,1.541
Chest Room,Steel,0.25,1.989,0.7721
Chest Room,Plate Glass,0.03866,0.07721,0.9843
Chest Room,Wood,0.00765,-0.00098,0.08083
Mammography Room,Steel,5.998,42.91,0.3927
Mammography Room,Plate Glass,0.2467,1.654,0.3694
Mammography Room,Wood,0.01914,0.04166,0.2858
Cardiac Angiography,Steel,0.2533,2.461,0.6243
Cardiac Angiography,Plate Glass,0.04025,0.09482,0.7523
Cardiac Angiography,Wood,0.007303,0.000722,1.204
