key_type,key,material,alpha_per_mm,beta_per_mm,gamma
kvp,30,Lead,38.79,180,0.356
kvp,30,Concrete,0.3174,1.725,0.3705
kvp,30,Gypsum Wallboard,0.1198,0.7137,0.3703
kvp,50,Lead,8.801,27.28,0.2957
kvp,50,Concrete,0.0903,0.1712,0.2324
kvp,50,Gypsum Wallboard,0.0388,0.0873,0.5105
kvp,70,Lead,5.369,23.49,0.5883
kvp,70,Concrete,0.0509,0.1697,0.3849
kvp,70,Gypsum Wallboard,0.023,0.0716,0.73
kvp,100,Lead,2.507,15.33,0.9124
kvp,100,Concrete,0.0395,0.0844,0.5191
kvp,100,Gypsum Wallboard,0.0147,0.04,0.9752
kvp,125,Lead,2.233,7.888,0.7295
kvp,125,Concrete,0.0351,0.066,0.7832
kvp,125,Gypsum Wallboard,0.012,0.0267,1.079
kvp,150,Lead,1.791,5.478,0.5678
kvp,150,Concrete,0.0324,0.0775,1.566
kvp,150,Gypsum Wallboard,0.0104,0.0202,1.135
workload,Rad Room (all barriers),Lead,2.298,17.38,0.6193
workload,Rad Room (all barriers),Concrete,0.0361,0.1433,0.56
workload,Rad Room (all barriers),Gypsum Wallboard,0.0138,0.057,0.7937
workload,Rad Room (chest bucky),Lead,2.256,13.8,0.8837
workload,Rad Room (chest bucky),Concrete,0.0356,0.1079,0.7705
workload,Rad Room (chest bucky),Gypsum Wallboard,0.0127,0.0445,1.049
workload,Rad Room (floor or other barriers),Lead,2.513,17.34,0.4994
workload,Rad Room (floor or other barriers),Concrete,0.0392,0.1464,0.4486
workload,Rad Room (floor or other barriers),Gypsum Wallboard,0.0164,0.0608,0.7472
workload,Fluoroscopy Tube (R&F room),Lead,2.322,12.91,0.7575
workload,Fluoroscopy Tube (R&F room),Concrete,0.0363,0.0936,0.5955
workload,Fluoroscopy Tube (R&F room),Gypsum Wallboard,0.0133,0.041,0.9566
workload,Rad Tube (R&F room),Lead,2.272,13.6,0.7184
workload,Rad Tube (R&F room),Concrete,0.0356,0.1114,0.662
workload,Rad Tube (R&F room),Gypsum Wallboard,0.0129,0.0457,0.9355
workload,Chest Room,Lead,2.288,9.848,1.054
workload,Chest Room,Concrete,0.0364,0.0659,0.7543
workload,Chest Room,Gypsum Wallboard,0.013,0.0297,1.195
workload,Mammography Room,Lead,29.91,184.4,0.355
workload,Mammography Room,Concrete,0.2539,1.8411,0.3924
workload,Mammography Room,Gypsum Wallboard,0.0883,0.7526,0.3786
workload,Cardiac Angiography,Lead,2.354,14.94,0.7481
workload,Cardiac Angiography,Concrete,0.0371,0.1067,0.5733
workload,Cardiac Angiography,Gypsum Wallboard,0.0139,0.0464,0.9185
workload,Peripheral Angiography,Lead,2.661,19.54,0.5094
workload,Peripheral Angiography,Concrete,0.04219,0.1559,0.4472
workload,Peripheral Angiography,Gypsum Wallboard,0.01747,0.06422,0.7299
kvp,30,Steel,7.408,42.49,0.4061
kvp,30,Plate Glass,0.306,1.62,0.3793
kvp,30,Wood,0.02159,0.03971,0.2852
kvp,50,Steel,1.817,4.84,0.4021
kvp,50,Plate Glass,0.09721,0.1799,0.4912
kvp,50,Wood,0.01076,0.001862,1.17
kvp,70,Steel,0.7149,3.798,0.5381
kvp,70,Plate Glass,0.05791,0.1357,0.5968
kvp,70,Wood,0.00855,0.000539,1.194
kvp,125,Steel,0.2138,1.69,1.086
kvp,125,Plate Glass,0.03654,0.0579,1.093
kvp,125,Wood,0.006587,-0.00114,1.172
kvp,150,Steel,0.1511,1.124,1.151
kvp,150,Plate Glass,0.03267,0.04074,1.134
kvp,150,Wood,0.006027,-0.00163,1.44
kvp,120,Lead,2.246,5.73,0.547
kvp,140,Lead,2.009,3.99,0.342
kvp,120,Concrete,0.0383,0.0142,0.658
kvp,140,Concrete,0.0336,0.0122,0.519
