workload,kvp,ma_min_per_patient
Rad Room (all barriers),25.0,0
Rad Room (chest bucky),25.0,0
Rad Room (floor or other barriers),25.0,0
Fluoroscopy Tube (R&F room),25.0,0
Rad Tube (R&F room),25.0,0
Chest Room,25.0,0
Mammography Room,25.0,0.925
Cardiac Angiography,25.0,0
Peripheral Angiography,25.0,0
Rad Room (all barriers),30.0,0
Rad Room (chest bucky),30.0,0
Rad Room (floor or other barriers),30.0,0
Fluoroscopy Tube (R&F room),30.0,0
Rad Tube (R&F room),30.0,0
Chest Room,30.0,0
Mammography Room,30.0,4.67
Cardiac Angiography,30.0,0
Peripheral Angiography,30.0,0
Rad Room (all barriers),35.0,0
Rad Room (chest bucky),35.0,0
Rad Room (floor or other barriers),35.0,0
Fluoroscopy Tube (R&F room),35.0,0
Rad Tube (R&F room),35.0,0
Chest Room,35.0,0
Mammography Room,35.0,1.1
Cardiac Angiography,35.0,0
Peripheral Angiography,35.0,0
Rad Room (all barriers),40.0,0.000138
Rad Room (chest bucky),40.0,0
Rad Room (floor or other barriers),40.0,0.000138
Fluoroscopy Tube (R&F room),40.0,0
Rad Tube (R&F room),40.0,0
Chest Room,40.0,0
Mammography Room,40.0,0
Cardiac Angiography,40.0,0
Peripheral Angiography,40.0,0
Rad Room (all barriers),45.0,0.00071
Rad Room (chest bucky),45.0,0
Rad Room (floor or other barriers),45.0,0.00071
Fluoroscopy Tube (R&F room),45.0,0
Rad Tube (R&F room),45.0,0.000578
Chest Room,45.0,0
Mammography Room,45.0,0
Cardiac Angiography,45.0,0
Peripheral Angiography,45.0,0
Rad Room (all barriers),50.0,0.00848
Rad Room (chest bucky),50.0,0.00678
Rad Room (floor or other barriers),50.0,0.0017
Fluoroscopy Tube (R&F room),50.0,0
Rad Tube (R&F room),50.0,0.000765
Chest Room,50.0,0
Mammography Room,50.0,0
Cardiac Angiography,50.0,0.34
Peripheral Angiography,50.0,0.0894
Rad Room (all barriers),55.0,0.0109
Rad Room (chest bucky),55.0,0.000456
Rad Room (floor or other barriers),55.0,0.0104
Fluoroscopy Tube (R&F room),55.0,0.0702
Rad Tube (R&F room),55.0,0.000726
Chest Room,55.0,0
Mammography Room,55.0,0
Cardiac Angiography,55.0,0.42
Peripheral Angiography,55.0,0.0398
Rad Room (all barriers),60.0,0.0981
Rad Room (chest bucky),60.0,0.00896
Rad Room (floor or other barriers),60.0,0.0891
Fluoroscopy Tube (R&F room),60.0,0.113
Rad Tube (R&F room),60.0,0.0152
Chest Room,60.0,0
Mammography Room,60.0,0
Cardiac Angiography,60.0,1.96
Peripheral Angiography,60.0,0.699
Rad Room (all barriers),65.0,0.104
Rad Room (chest bucky),65.0,0.0342
Rad Room (floor or other barriers),65.0,0.07
Fluoroscopy Tube (R&F room),65.0,0.187
Rad Tube (R&F room),65.0,0.0252
Chest Room,65.0,0
Mammography Room,65.0,0
Cardiac Angiography,65.0,4.55
Peripheral Angiography,65.0,15
Rad Room (all barriers),70.0,0.458
Rad Room (chest bucky),70.0,0.0725
Rad Room (floor or other barriers),70.0,0.385
Fluoroscopy Tube (R&F room),70.0,0.145
Rad Tube (R&F room),70.0,0.0889
Chest Room,70.0,0.0202
Mammography Room,70.0,0
Cardiac Angiography,70.0,6.03
Peripheral Angiography,70.0,12.2
Rad Room (all barriers),75.0,0.501
Rad Room (chest bucky),75.0,0.0953
Rad Room (floor or other barriers),75.0,0.405
Fluoroscopy Tube (R&F room),75.0,0.194
Rad Tube (R&F room),75.0,0.224
Chest Room,75.0,0.00236
Mammography Room,75.0,0
Cardiac Angiography,75.0,8.02
Peripheral Angiography,75.0,15.3
Rad Room (all barriers),80.0,0.56
Rad Room (chest bucky),80.0,0.14
