thickness,lead_mm_transmission,concrete_cm_transmission,iron_cm_transmission
0,1.0,1.0,1.0
1,0.8912,0.9583,0.7484
2,0.7873,0.9088,0.5325
3,0.6905,0.8519,0.3614
4,0.6021,0.7889,0.2353
5,0.5227,0.7218,0.1479
6,0.4522,0.6528,0.0905
7,0.3903,0.5842,0.0542
8,0.3362,0.518,0.0319
9,0.2892,0.4558,0.0186
10,0.2485,0.3987,0.0107
12,0.1831,0.3008,0.0035
14,0.1347,0.2243,0.0011
16,0.099,0.1662,0.0004
18,0.0728,0.1227,0.0001
20,0.0535,0.0904,
25,0.0247,0.0419,
30,0.0114,0.0194,
40,0.0024,0.0042,
50,0.0005,0.0009,
